Attribute2,Attribute13,Label
21,36,0
42,45,0
12,33,1
10,37,0
8,24,1
24,26,0
24,25,0
36,40,0
12,33,0
24,39,1
12,24,0
12,25,1
11,20,0
15,33,0
24,33,0
12,31,0
18,40,0
36,42,1
9,30,0
12,26,1
13,23,0
10,38,0
18,36,1
12,37,0
6,39,0
18,22,1
12,35,1
12,57,0
24,43,0
6,51,0
9,36,0
24,31,1
24,20,1
24,46,0
12,33,1
9,34,1
24,21,0
24,27,0
24,23,1
18,32,0
36,37,0
12,40,1
36,25,1
15,29,0
24,35,0
15,23,0
18,44,0
18,30,0
36,23,0
36,31,1
33,35,0
48,46,0
21,30,0
11,39,0
18,21,0
15,24,1
24,63,0
40,27,1
9,27,1
48,28,1
9,28,1
60,42,1
24,38,0
6,36,0
36,45,0
21,27,0
18,48,0
24,27,0
36,32,0
18,24,0
9,22,1
15,50,0
18,40,0
15,22,0
12,26,0
18,47,1
10,46,0
36,38,0
30,32,0
12,47,0
24,42,0
48,36,0
12,24,0
18,40,1
5,74,0
30,25,0
12,35,0
18,43,0
10,52,0
15,23,0
24,40,0
12,23,0
15,27,0
24,23,1
42,55,0
18,27,0
24,60,0
15,61,1
11,40,0
36,42,1
24,35,1
48,38,1
24,24,1
12,20,1
24,22,0
48,24,1
24,25,0
36,42,0
24,34,0
36,23,1
72,24,1
21,39,1
39,32,0
15,47,0
24,47,0
18,34,0
10,23,0
10,45,0
12,49,0
27,26,0
12,44,0
21,32,0
24,28,0
36,35,0
20,39,0
18,20,1
24,75,0
24,64,0
15,36,0
6,27,0
9,22,1
12,66,0
15,33,0
6,39,0
24,43,0
24,26,0
39,24,0
18,35,0
30,53,1
24,32,0
24,36,0
24,53,0
7,34,0
12,39,0
9,28,1
16,43,1
6,27,0
24,36,0
36,36,0
21,25,1
36,34,0
9,52,0
18,23,0
12,25,1
24,31,0
12,36,0
48,26,0
48,27,1
24,31,0
45,29,1
60,63,0
12,29,0
24,48,0
27,27,0
6,21,0
18,32,0
24,34,1
36,31,0
18,68,1
12,53,1
24,43,0
9,25,0
18,33,0
12,54,0
6,28,0
18,45,0
36,26,1
24,54,1
48,38,0
12,35,1
36,54,0
21,29,0
18,28,0
18,25,1
36,30,0
24,34,0
12,23,0
18,26,1
12,30,0
12,19,0
7,45,0
12,28,1
24,50,0
15,36,0
24,38,1
12,23,0
24,25,0
12,50,0
9,22,0
18,31,0
36,25,1
24,23,0
18,36,0
26,30,0
24,27,1
12,38,0
12,32,0
36,30,1
36,27,0
12,27,0
48,27,0
24,20,0
36,37,1
12,35,0
15,26,1
24,29,1
6,35,0
15,33,0
12,26,0
24,37,0
15,59,0
60,27,0
12,29,1
8,39,0
36,31,1
7,46,0
18,31,0
21,28,0
15,30,0
9,29,1
11,57,0
9,20,0
12,43,1
30,66,1
6,26,0
18,27,0
12,43,0
27,32,0
15,25,1
18,35,0
33,26,0
42,29,0
24,60,0
48,54,1
9,32,0
30,28,1
15,29,1
15,25,0
27,42,1
6,46,0
36,37,0
12,23,0
9,64,0
21,41,1
28,29,0
28,45,1
6,24,0
6,54,0
18,28,1
42,56,0
15,27,0
12,42,0
13,23,0
36,34,1
12,26,0
30,58,0
48,33,1
10,70,0
24,30,0
30,33,0
30,40,0
48,42,1
18,28,1
18,27,1
18,25,0
6,67,0
6,24,1
60,36,1
36,24,1
15,31,0
12,30,0
47,35,0
24,49,0
12,25,1
24,27,0
36,51,0
48,31,1
24,23,1
18,36,0
18,27,0
12,27,0
12,51,0
10,35,0
24,36,0
18,30,0
6,32,1
24,28,0
18,25,0
24,34,1
48,31,0
36,31,0
24,32,1
48,25,1
15,35,0
30,49,0
12,49,0
24,28,0
30,38,0
48,59,1
24,32,0
10,48,0
24,62,0
12,29,0
21,26,0
12,57,0
24,55,1
18,38,1
30,36,0
36,32,0
18,46,0
12,42,0
24,22,1
12,45,0
12,37,0
33,23,1
21,31,0
9,24,0
30,26,0
24,41,0
24,44,1
39,25,1
20,31,0
9,33,0
15,24,0
12,55,1
14,35,0
9,66,0
6,26,0
15,25,0
18,25,0
30,26,0
6,52,0
6,29,0
24,54,0
21,46,0
18,42,1
18,47,0
24,26,0
24,26,0
30,57,0
18,28,0
24,29,1
36,28,0
12,38,0
48,26,1
54,39,0
12,29,1
18,22,1
18,39,0
6,45,0
24,29,0
