density,pH,Label
0.9948,3.05,2
0.99572,3.38,3
0.99756,3.48,2
0.99834,3.05,3
0.9912,3.13,2
0.9969,3.48,2
0.99537,3.35,2
0.9919,3.14,2
0.99452,3.04,3
0.9896,3.39,4
0.99666,3.2,2
0.99792,3.02,2
0.9982,3.46,2
0.99626,3.2,2
0.99362,2.99,3
0.9907,3.14,4
0.9966,3.17,2
0.99308,3.36,3
0.99635,3.38,3
0.993,3.21,2
0.9961,3.41,2
0.9918,3.04,1
0.9937,3.08,3
0.9968,3.16,4
0.99863,3.16,3
0.99162,3.18,3
0.9915,2.89,2
0.99286,3.18,3
0.9972,3.3,3
0.99273,3.18,2
0.9917,3.48,3
0.99089,3.25,4
0.99082,3.06,5
0.99492,3.34,3
0.99646,3.22,3
0.9975,3.14,2
0.9958,3.15,2
0.99518,3.5,3
0.9976,3.21,4
0.9978,3.39,3
0.99094,3.01,3
0.9916,3.36,3
1.001,3.31,2
0.9973,3.57,2
0.99587,3.34,2
0.98886,3.31,5
0.98974,3.1,4
0.99374,3.35,4
0.99021,3.36,3
0.99329,3.18,2
0.9918,3.17,3
0.9994,3.2,4
0.99174,3.23,4
0.9944,3.42,2
0.9978,3.51,2
0.9913,3.25,4
0.9903,3.19,4
0.992,3.13,2
0.9935,3.31,1
0.99014,3.22,3
0.9948,3.46,3
0.99014,3.13,4
0.99756,3.48,2
0.9993,3.06,3
0.9955,3.28,2
0.991,3.02,2
0.9956,3.18,2
0.9954,3.14,3
0.99362,3.19,2
0.99769,3.44,4
0.9978,3.15,3
0.99212,3.47,2
0.9938,3.19,2
0.99911,3.14,2
0.9959,3.22,2
0.99585,3.3,3
0.9982,3.1,2
0.9969,2.93,3
0.9984,3.06,3
0.9918,3.2,4
0.98968,3.23,3
0.99273,3.38,3
0.9899,3.25,4
0.9896,3.12,4
0.9969,3.04,3
0.9955,3.14,2
0.9937,3.18,2
0.995,3.27,4
0.99168,3.24,3
0.998,2.87,3
0.99675,3.26,2
0.99015,3.26,4
0.98985,3.13,2
0.99118,3.04,3
1.0008,3.22,2
0.9934,3.18,3
0.99748,3.24,2
0.9962,3.32,2
0.99432,3.44,2
0.99704,2.97,3
0.998275,3.39,2
0.99007,3.15,4
0.9902,3.04,3
0.9922,2.96,3
0.99828,3.15,3
0.99853,3.12,3
0.99472,3.11,3
0.99191,3.45,3
0.99688,3.26,4
0.99158,3.48,4
0.9912,3.3,4
0.9928,3.17,3
0.99604,2.96,3
0.98966,3.26,4
0.99146,3.05,3
0.9979,3.29,2
0.98936,3.2,4
0.9966,3.17,2
0.9949,3.49,4
0.99085,3.25,5
0.99571,3.05,2
0.99784,3.0,3
0.99469,3.11,4
0.99124,2.96,3
0.99614,3.23,1
0.9936,3.19,3
0.99189,3.06,3
0.9917,3.37,3
